CLAIM_ID,POLICY_ID,CLAIMANT_ID,LOSS_DATE,CLAIMED_AMOUNT,POLICY_TYPE,SUM_INSURED,DEDUCTIBLE,FRAUD_SCORE,FRAUD_RISK,ADJUDICATION_RESULT,ADJUDICATION_REASON,APPROVED_AMOUNT,PROCESSING_DATE,CLAIM_STATUS
CLM000001,POL0070,CLNT0049,2024-01-14,2500,RENT,200000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2000.0,2024-01-15,APPR
CLM000002,POL0013,CLNT0074,2024-01-04,4500,LIFE,500000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000003,POL0062,CLNT0055,2024-01-05,4500,AUTO,50000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",2500.0,2024-01-15,APPR
CLM000004,POL0064,CLNT0036,2024-01-13,1000,HEALTH,50000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,500.0,2024-01-15,APPR
CLM000005,POL0079,CLNT0034,2024-01-06,1000,AUTO,500000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000007,POL0002,CLNT0012,2024-01-08,1000,HEALTH,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000008,POL0087,CLNT0048,2024-01-05,2500,AUTO,200000.0,1000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",1500.0,2024-01-15,APPR
CLM000011,POL0064,CLNT0033,2024-01-05,15000,HEALTH,50000.0,500.0,42.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000012,POL0059,CLNT0022,2024-01-08,4500,AUTO,500000.0,500.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",4000.0,2024-01-15,APPR
CLM000013,POL0020,CLNT0014,2024-01-14,60000,HEALTH,200000.0,500.0,0.0,LOW,PEND,Large claim; Exceeds 25% threshold,,2024-01-15,PEND
CLM000015,POL0092,CLNT0042,2024-01-04,1000,HOME,500000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000016,POL0005,CLNT0051,2024-01-09,1000,RENT,100000.0,5000.0,69.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000017,POL0086,CLNT0057,2024-01-09,15000,HEALTH,500000.0,5000.0,58.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000018,POL0034,CLNT0078,2024-01-10,2500,LIFE,100000.0,1000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,1500.0,2024-01-15,APPR
CLM000022,POL0056,CLNT0038,2024-01-04,1000,AUTO,200000.0,2000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000024,POL0029,CLNT0061,2024-01-05,8000,RENT,500000.0,2000.0,78.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000025,POL0054,CLNT0052,2024-01-03,1000,HOME,100000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000026,POL0030,CLNT0072,2024-01-03,60000,AUTO,500000.0,1000.0,0.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000027,POL0079,CLNT0041,2024-01-05,60000,AUTO,500000.0,2000.0,48.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000028,POL0050,CLNT0057,2024-01-13,8000,AUTO,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000029,POL0074,CLNT0023,2024-01-01,15000,HEALTH,50000.0,500.0,0.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000030,POL0080,CLNT0077,2024-01-04,2500,AUTO,50000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000031,POL0025,CLNT0050,2024-01-01,1000,LIFE,100000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,0.0,2024-01-15,APPR
CLM000034,POL0001,CLNT0069,2024-01-12,15000,HOME,50000.0,2000.0,44.0,LOW,PEND,Exceeds 25% threshold,,2024-01-15,PEND
CLM000035,POL0058,CLNT0006,2024-01-09,35000,AUTO,500000.0,2000.0,71.0,MEDIUM,PEND,Medium fraud risk,,2024-01-15,PEND
CLM000036,POL0094,CLNT0010,2024-01-11,1000,HOME,500000.0,5000.0,0.0,LOW,APPR,"Auto-approved: low risk, small claim",0.0,2024-01-15,APPR
CLM000037,POL0015,CLNT0041,2024-01-09,8000,LIFE,500000.0,2000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,6000.0,2024-01-15,APPR
CLM000040,POL0037,CLNT0035,2024-01-07,2500,LIFE,100000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,2000.0,2024-01-15,APPR
CLM000041,POL0069,CLNT0052,2024-01-14,15000,LIFE,200000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000042,POL0017,CLNT0044,2024-01-14,8000,AUTO,500000.0,500.0,35.0,LOW,APPR,Auto-approved: within 25% of sum insured,7500.0,2024-01-15,APPR
CLM000043,POL0020,CLNT0076,2024-01-09,4500,HEALTH,200000.0,500.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,4000.0,2024-01-15,APPR
CLM000044,POL0086,CLNT0052,2024-01-10,15000,HEALTH,500000.0,5000.0,27.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000045,POL0090,CLNT0033,2024-01-04,15000,RENT,500000.0,5000.0,0.0,LOW,APPR,Auto-approved: within 25% of sum insured,10000.0,2024-01-15,APPR
CLM000046,POL0094,CLNT0077,2024-01-12,8000,HOME,500000.0,5000.0,30.0,LOW,APPR,Auto-approved: within 25% of sum insured,3000.0,2024-01-15,APPR
CLM000048,POL0051,CLNT0078,2024-01-13,120000,AUTO,500000.0,1000.0,0.0,LOW,PEND,Large claim,,2024-01-15,PEND
CLM000049,POL0097,CLNT0013,2024-01-04,4500,HEALTH,200000.0,2000.0,87.0,HIGH,DENY,High fraud risk - SIU referral,0.0,2024-01-15,DENY
